t1_conf_thr	diff_thr	n_takeover	n_inject	n_t1_only	det38_t1_ppv	det38_trackA_ppv	rescue38_ppv	hurt38_ppv	net38_ppv	det38_t1_box	det38_trackA_box	rescue38_box	hurt38_box	net38_box	lr58_t1_ppv	lr58_trackA_ppv	delta_lr58_ppv	p58_t1_ppv	p58_trackA_ppv	lr58_t1_box	lr58_trackA_box	delta_lr58_box	p58_t1_box	p58_trackA_box	score
0.55	0.3	43	3	12	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.6	0.15	43	10	5	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.6	0.2	43	9	6	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.6	0.25	43	7	8	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.6	0.3	43	3	12	20	19	2	3	-1	11	20	11	2	9	9.23553909453797	11.649506680580778	2.4139675860428085	0.002373625087872866	0.0006421956315803001	1.304866582497425	11.68821194436007	10.383345361862645	0.2533261961191047	0.000628973137572264	6.75980392650847
0.1	0.0	32	25	1	20	20	2	2	0	11	23	12	0	12	9.23553909453797	8.916621058340645	-0.3189180361973243	0.002373625087872866	0.0028258686372275577	1.304866582497425	13.08697432768605	11.782107745188625	0.2533261961191047	0.0002973562600235846	5.626608900099832
0.1	0.05	32	24	2	20	20	2	2	0	11	23	12	0	12	9.23553909453797	8.916621058340645	-0.3189180361973243	0.002373625087872866	0.0028258686372275577	1.304866582497425	13.08697432768605	11.782107745188625	0.2533261961191047	0.0002973562600235846	5.626608900099832
0.1	0.1	32	23	3	20	20	2	2	0	11	23	12	0	12	9.23553909453797	8.916621058340645	-0.3189180361973243	0.002373625087872866	0.0028258686372275577	1.304866582497425	13.08697432768605	11.782107745188625	0.2533261961191047	0.0002973562600235846	5.626608900099832
0.15	0.15	36	17	5	20	20	2	2	0	11	21	11	1	10	9.23553909453797	9.870041298684555	0.6345022041465853	0.002373625087872866	0.0016799173757123809	1.304866582497425	10.051470762025716	8.74660417952829	0.2533261961191047	0.001522263612781516	5.321153249028658
0.15	0.2	36	16	6	20	20	2	2	0	11	21	11	1	10	9.23553909453797	9.870041298684555	0.6345022041465853	0.002373625087872866	0.0016799173757123809	1.304866582497425	10.051470762025716	8.74660417952829	0.2533261961191047	0.001522263612781516	5.321153249028658
0.15	0.25	36	14	8	20	20	2	2	0	11	21	11	1	10	9.23553909453797	9.870041298684555	0.6345022041465853	0.002373625087872866	0.0016799173757123809	1.304866582497425	10.051470762025716	8.74660417952829	0.2533261961191047	0.001522263612781516	5.321153249028658
0.15	0.3	36	10	12	20	20	2	2	0	11	21	11	1	10	9.23553909453797	9.870041298684555	0.6345022041465853	0.002373625087872866	0.0016799173757123809	1.304866582497425	10.051470762025716	8.74660417952829	0.2533261961191047	0.001522263612781516	5.321153249028658
0.25	0.0	41	16	1	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.25	0.05	41	15	2	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.25	0.1	41	14	3	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.3	0.0	41	16	1	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.3	0.05	41	15	2	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.3	0.1	41	14	3	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.35	0.0	41	16	1	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
0.35	0.05	41	15	2	20	18	2	4	-2	11	21	12	2	10	9.23553909453797	9.74816459341605	0.5126254988780801	0.002373625087872866	0.0017950184759926158	1.304866582497425	14.257149447634667	12.952282865137242	0.2533261961191047	0.00015945393727367918	5.250696215162391
